file	formula	svnrevision
1001496	- Ba2 Ca0.09 Cu2.91 Fe0.09 O7.05 Y0.91 -	176435
1001497	- Ba2 Ca0.24 Cu2.76 Fe0.24 O7.07 Y0.76 -	176435
1001499	- O4 Sr Tl2 -	130149
1001501	- Ba Ni O5 Y2 -	130149
1001506	- Cu2 O5.667 Pr Sr2 -	130149
1001508	- Ba4 Na2 Nb10 O30 -	130149
1001513	- La Ni O3.43 Sr -	130149
1001514	- La Ni O3.09 Sr -	130149
1001515	- Ba Ca2 Cu3 O9 Sr Tl -	130149
1001518	- Cd0.33 Cu2.11 O7 Pb0.56 Sr2.09 Y0.91 -	176435
1001521	- Ba Cu O6 Sr Tl2 -	130149
1001522	- Cu O6 Sr2 Tl2 -	130149
1001523	- Ba Cu2 Nd O7 Sr Tl -	130149
1001524	- Cu2 Nd O7 Sr2 Tl -	130149
1001525	- Ba Cu2 O7 Sr Tl Y -	130149
1001526	- Cu2 O7 Sr2 Tl Y -	130149
1001527	- Ce Cu3 O10 Pb2 Pr Sr2 -	130149
1001528	- Ce Cu3.01 O10.056 Pb2.02 Pr Sr2.02 -	176343
1001531	- Ce0.5 Cu2 Nd1.5 O9 Pb0.5 Sr2.5 -	176435
1001532	- Ba2 Ca Cu2 O8 Tl2 -	130149
1001533	- Ba2 Ca Cu2 O8 Tl1.81 -	130149
1001537	- O4 Sr Tl2 -	130149
1001540	- Ba2 Ce0.5 Cu2 Eu1.5 O9 Tl -	176435
1001543	- La0.988 Mo8.024 O14 -	188424
1001545	- Al Ca O4 Y -	130149
1001546	- Al Ca O4 Y -	130149
1001547	- Al0.93 Ca Cr0.07 O4 Y -	176435
1001548	- Al0.93 Ca Cr0.07 O4 Y -	176435
1001549	- Ba Co Cu O4.96 Y -	130149
1001551	- Cu0.6667 Fe0.6667 O3 Ti0.6667 -	176435
1001552	- Cu0.66 Fe0.66 O3 Ti0.66 -	176435
1001557	- Ba Cu Nd1.6 O5 Sr0.4 -	176435
